------------------------------------------------------------
Client connecting to 10.0.0.1, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.10 port 38422 connected with 10.0.0.1 port 5001
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  14.0 MBytes   117 Mbits/sec
[  1] 1.0000-2.0000 sec  10.1 MBytes  84.9 Mbits/sec
[  1] 2.0000-3.0000 sec  12.4 MBytes   104 Mbits/sec
[  1] 3.0000-4.0000 sec  18.6 MBytes   156 Mbits/sec
[  1] 4.0000-5.0000 sec  11.9 MBytes  99.9 Mbits/sec
[  1] 5.0000-6.0000 sec  14.0 MBytes   118 Mbits/sec
[  1] 6.0000-7.0000 sec  9.20 MBytes  77.2 Mbits/sec
[  1] 7.0000-8.0000 sec  12.8 MBytes   107 Mbits/sec
[  1] 8.0000-9.0000 sec  14.4 MBytes   121 Mbits/sec
[  1] 9.0000-10.0000 sec  10.5 MBytes  88.1 Mbits/sec
[  1] 10.0000-11.0000 sec  10.7 MBytes  89.8 Mbits/sec
[  1] 11.0000-12.0000 sec  8.35 MBytes  70.0 Mbits/sec
[  1] 12.0000-13.0000 sec  15.9 MBytes   133 Mbits/sec
[  1] 13.0000-14.0000 sec  10.9 MBytes  91.3 Mbits/sec
[  1] 14.0000-15.0000 sec  10.5 MBytes  88.1 Mbits/sec
[  1] 15.0000-16.0000 sec  11.2 MBytes  93.9 Mbits/sec
[  1] 16.0000-17.0000 sec  10.5 MBytes  88.1 Mbits/sec
[  1] 17.0000-18.0000 sec  10.6 MBytes  89.1 Mbits/sec
[  1] 18.0000-19.0000 sec  10.6 MBytes  89.1 Mbits/sec
[  1] 19.0000-20.0000 sec  15.8 MBytes   132 Mbits/sec
[  1] 20.0000-21.0000 sec  10.6 MBytes  89.1 Mbits/sec
[  1] 21.0000-22.0000 sec  10.5 MBytes  88.1 Mbits/sec
[  1] 22.0000-23.0000 sec  10.6 MBytes  89.1 Mbits/sec
[  1] 23.0000-24.0000 sec  10.5 MBytes  88.1 Mbits/sec
[  1] 24.0000-25.0000 sec  10.6 MBytes  89.1 Mbits/sec
[  1] 25.0000-26.0000 sec  10.5 MBytes  88.1 Mbits/sec
[  1] 26.0000-27.0000 sec  10.6 MBytes  89.0 Mbits/sec
[  1] 27.0000-28.0000 sec  9.97 MBytes  83.6 Mbits/sec
[  1] 28.0000-29.0000 sec  4.09 MBytes  34.3 Mbits/sec
[  1] 29.0000-30.0000 sec  4.41 MBytes  37.0 Mbits/sec
[  1] 30.0000-31.0000 sec  3.97 MBytes  33.3 Mbits/sec
[  1] 31.0000-32.0000 sec  4.04 MBytes  33.9 Mbits/sec
[  1] 32.0000-33.0000 sec  4.29 MBytes  36.0 Mbits/sec
[  1] 33.0000-34.0000 sec  3.29 MBytes  27.6 Mbits/sec
[  1] 34.0000-35.0000 sec  3.54 MBytes  29.7 Mbits/sec
[  1] 35.0000-36.0000 sec  4.79 MBytes  40.2 Mbits/sec
[  1] 36.0000-37.0000 sec  4.72 MBytes  39.6 Mbits/sec
[  1] 37.0000-38.0000 sec  4.41 MBytes  37.0 Mbits/sec
[  1] 38.0000-39.0000 sec  4.78 MBytes  40.1 Mbits/sec
[  1] 39.0000-40.0000 sec  4.72 MBytes  39.6 Mbits/sec
[  1] 40.0000-41.0000 sec  2.73 MBytes  22.9 Mbits/sec
[  1] 41.0000-42.0000 sec  3.54 MBytes  29.7 Mbits/sec
[  1] 42.0000-43.0000 sec  4.73 MBytes  39.7 Mbits/sec
[  1] 43.0000-44.0000 sec  3.91 MBytes  32.8 Mbits/sec
[  1] 44.0000-45.0000 sec  4.54 MBytes  38.1 Mbits/sec
[  1] 45.0000-46.0000 sec  2.11 MBytes  17.7 Mbits/sec
[  1] 46.0000-47.0000 sec  4.22 MBytes  35.4 Mbits/sec
