------------------------------------------------------------
Client connecting to 10.0.0.1, TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.2 port 35366 connected with 10.0.0.1 port 5001
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-1.0000 sec  20.1 MBytes   169 Mbits/sec
[  1] 1.0000-2.0000 sec  10.6 MBytes  88.6 Mbits/sec
[  1] 2.0000-3.0000 sec  9.75 MBytes  81.8 Mbits/sec
[  1] 3.0000-4.0000 sec  9.88 MBytes  82.8 Mbits/sec
[  1] 4.0000-5.0000 sec  10.5 MBytes  88.1 Mbits/sec
[  1] 5.0000-6.0000 sec  11.2 MBytes  94.4 Mbits/sec
[  1] 6.0000-7.0000 sec  11.5 MBytes  96.5 Mbits/sec
[  1] 7.0000-8.0000 sec  14.0 MBytes   117 Mbits/sec
[  1] 8.0000-9.0000 sec  9.25 MBytes  77.6 Mbits/sec
[  1] 9.0000-10.0000 sec  7.94 MBytes  66.6 Mbits/sec
[  1] 10.0000-11.0000 sec  14.1 MBytes   118 Mbits/sec
[  1] 11.0000-12.0000 sec  11.4 MBytes  95.4 Mbits/sec
[  1] 12.0000-13.0000 sec  12.8 MBytes   107 Mbits/sec
[  1] 13.0000-14.0000 sec  3.62 MBytes  30.4 Mbits/sec
[  1] 14.0000-15.0000 sec  5.27 MBytes  44.2 Mbits/sec
[  1] 15.0000-16.0000 sec  3.62 MBytes  30.4 Mbits/sec
[  1] 16.0000-17.0000 sec  3.57 MBytes  30.0 Mbits/sec
[  1] 17.0000-18.0000 sec  3.62 MBytes  30.4 Mbits/sec
[  1] 18.0000-19.0000 sec  3.57 MBytes  30.0 Mbits/sec
[  1] 19.0000-20.0000 sec  5.38 MBytes  45.1 Mbits/sec
[  1] 20.0000-21.0000 sec  3.46 MBytes  29.0 Mbits/sec
[  1] 21.0000-22.0000 sec  3.62 MBytes  30.4 Mbits/sec
[  1] 22.0000-23.0000 sec  3.15 MBytes  26.4 Mbits/sec
[  1] 23.0000-24.0000 sec  3.29 MBytes  27.6 Mbits/sec
[  1] 24.0000-25.0000 sec  5.36 MBytes  44.9 Mbits/sec
[  1] 25.0000-26.0000 sec  3.62 MBytes  30.4 Mbits/sec
[  1] 26.0000-27.0000 sec  3.50 MBytes  29.4 Mbits/sec
[  1] 27.0000-28.0000 sec  5.49 MBytes  46.1 Mbits/sec
[  1] 28.0000-29.0000 sec  3.33 MBytes  28.0 Mbits/sec
[  1] 29.0000-30.0000 sec  3.62 MBytes  30.4 Mbits/sec
[  1] 30.0000-31.0000 sec  3.22 MBytes  27.0 Mbits/sec
[  1] 31.0000-32.0000 sec  5.50 MBytes  46.1 Mbits/sec
[  1] 32.0000-33.0000 sec  3.50 MBytes  29.4 Mbits/sec
[  1] 33.0000-34.0000 sec  5.50 MBytes  46.1 Mbits/sec
[  1] 34.0000-35.0000 sec  3.52 MBytes  29.6 Mbits/sec
[  1] 35.0000-36.0000 sec  3.60 MBytes  30.2 Mbits/sec
[  1] 36.0000-37.0000 sec  3.62 MBytes  30.4 Mbits/sec
[  1] 37.0000-38.0000 sec  2.96 MBytes  24.8 Mbits/sec
[  1] 38.0000-39.0000 sec  5.38 MBytes  45.1 Mbits/sec
[  1] 39.0000-40.0000 sec  3.58 MBytes  30.0 Mbits/sec
[  1] 40.0000-41.0000 sec  3.28 MBytes  27.5 Mbits/sec
[  1] 41.0000-42.0000 sec  5.50 MBytes  46.1 Mbits/sec
[  1] 42.0000-43.0000 sec  3.62 MBytes  30.4 Mbits/sec
[  1] 43.0000-44.0000 sec  5.38 MBytes  45.1 Mbits/sec
[  1] 44.0000-45.0000 sec  3.59 MBytes  30.1 Mbits/sec
[  1] 45.0000-46.0000 sec  3.62 MBytes  30.4 Mbits/sec
[  1] 46.0000-47.0000 sec  3.62 MBytes  30.4 Mbits/sec
[  1] 47.0000-48.0000 sec  5.38 MBytes  45.1 Mbits/sec
[  1] 48.0000-49.0000 sec  3.62 MBytes  30.4 Mbits/sec
[  1] 49.0000-50.0000 sec  2.95 MBytes  24.7 Mbits/sec
[  1] 50.0000-51.0000 sec  5.38 MBytes  45.1 Mbits/sec
[  1] 51.0000-52.0000 sec  3.62 MBytes  30.4 Mbits/sec
[  1] 52.0000-53.0000 sec  3.62 MBytes  30.4 Mbits/sec
[  1] 53.0000-54.0000 sec  5.17 MBytes  43.4 Mbits/sec
[  1] 54.0000-55.0000 sec  3.62 MBytes  30.4 Mbits/sec
[  1] 55.0000-56.0000 sec  3.38 MBytes  28.3 Mbits/sec
[  1] 56.0000-57.0000 sec  5.36 MBytes  44.9 Mbits/sec
[  1] 57.0000-58.0000 sec  2.98 MBytes  25.0 Mbits/sec
[  1] 58.0000-59.0000 sec  3.42 MBytes  28.7 Mbits/sec
[  1] 59.0000-60.0000 sec  3.62 MBytes  30.4 Mbits/sec
[  1] 60.0000-61.1186 sec   128 KBytes   937 Kbits/sec
[  1] 0.0000-61.1186 sec   341 MBytes  46.9 Mbits/sec
